Row,Field,Value,Error Message
225,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
228,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
232,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
235,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
237,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
238,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
242,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
243,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
249,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
250,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
252,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
254,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
256,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
257,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
264,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
284,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
286,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
293,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
301,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
303,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
306,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
307,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
309,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
312,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
313,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
325,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
336,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
337,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
346,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
352,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
362,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
364,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
367,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
368,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
374,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
378,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
380,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
391,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
398,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
403,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
406,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
407,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
409,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
410,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
411,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
414,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
434,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
436,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
447,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
454,metacriticScore,"""N/A""","Invalid input: expected number, received NaN"
